Title,TitleCorrected
AFTE J,AFTE Journal
AFTE J Journal,AFTE Journal
AFTE J.,AFTE Journal
Applied Physics A: Materials Science & Processing,Applied Physics A: Materials Science and Processing
Applied spectroscopy,Applied Spectroscopy
"Chemistry-A European Journal,",Chemistry - A European Journal
Encyclopedia of Forensic Sciences (Edition 2),Encyclopedia of Forensic Sciences: Second Edition
Fingerprint World,Fingerprint Whorld
Forensic science international,Forensic Science International
"Identification Canada,",Identification Canada
International journal of legal medicine,International Journal of Legal Medicine
J. Am. Soc. Quest. Doc. Exam,Journal of the American Society of Questioned Document Examiners
J. Am. Soc. Quest. Doc. Exam.,Journal of the American Society of Questioned Document Examiners
J. Am. Soc. Quest. Document Exam.,Journal of the American Society of Questioned Document Examiners
J. Am. Soc. Questioned Doc. Examiners,Journal of the American Society of Questioned Document Examiners
J. Am. Soc. Questioned Document Exam.,Journal of the American Society of Questioned Document Examiners
J. Am. Soc. Questioned Document Examiners,Journal of the American Society of Questioned Document Examiners
J. Am. Soc. Questioned. Document Exam.,Journal of the American Society of Questioned Document Examiners
J. Am. Soc. Questionned Doc. Examiners,Journal of the American Society of Questioned Document Examiners
J. American Society of Questioned Document Examiners,Journal of the American Society of Questioned Document Examiners
Journal of analytical toxicology,Journal of Analytical Toxicology
Journal of Coatings Technology Research,Journal of Coatings Technology and Research
Journal of forensic and legal medicine,Journal of Forensic and Legal Medicine
Journal of forensic sciences,Journal of Forensic Sciences
Journal of the American Society of Questioned Document Examiners (ASQDE),Journal of the American Society of Questioned Document Examiners
Journal of the American Society of Questioned Documents Examiners,Journal of the American Society of Questioned Document Examiners
Journal of the American Society of the Questioned Document Examiners,Journal of the American Society of Questioned Document Examiners
Journal of the American Society Questioned Document Examiners,Journal of the American Society of Questioned Document Examiners
PCI-Paint and Coatings Industry,Paint and Coatings Industry
PloS one,PLoS ONE
Rapid communications in mass spectrometry : RCM,Rapid Communications in Mass Spectrometry
Science & Justice,Science and Justice
Science and Justice - Journal of the Forensic Science Society,Science and Justice
Sensors (Switzerland),Sensors
"Sensors (Basel, Switzerland)",Sensors
Spectrochimica Acta Part B,Spectrochimica Acta - Part B Atomic Spectroscopy
Spectrochimica Acta; Part B Atomic Spectroscopy,Spectrochimica Acta - Part B Atomic Spectroscopy
TrAC; Trends in Analytical Chemistry,TrAC - Trends in Analytical Chemistry
Trac-Trend Anal Chem.,TrAC - Trends in Analytical Chemistry
