"Keyword","EA"
"(FTIR)",18
"(GC-MS)",22
"(HPLC)",19
"2,4 DINITROTOLUENE (DNT)",26
"2,4,6 TRINITROTOLUENE (TNT)",158
"ACTIVATION ENERGY",12
"AGEING",12
"AGGREGATION-INDUCED EMISSION",10
"ALUMINIUM (AL)",10
"AMMONIUM NITRATE",38
"ASSOCIATED PARTICLE TECHNIQUE",11
"CAPILLARY ELECTROPHORESIS",14
"CHEMILUMINESCENCE",10
"CHEMOMETRICS",10
"CL-20",13
"CONJUGATED POLYMER",10
"CONJUGATED POLYMERS",12
"CRYSTAL STRUCTURE",18
"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",39
"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",79
"DENSITY",10
"DENSITY FUNCTIONAL THEORY (DFT)",43
"DETECTION",51
"DETONATION",29
"DETONATION PERFORMANCE",12
"DETONATION PROPERTIES",16
"DETONATION VELOCITY",10
"DRUG",13
"DSC",10
"ELECTROCHEMICAL DETECTION",13
"ELECTROCHEMICAL SENSOR",12
"ENERGETIC MATERIAL",68
"EXPLOSION",18
"EXPLOSIVE",486
"EXPLOSIVE DETECTION",211
"FINGERPRINT",12
"FLUORESCENCE",49
"FLUORESCENCE QUENCHING",43
"FLUORESCENT SENSOR",10
"FORENSIC",25
"FORENSIC ANALYSIS",16
"FORENSIC SCIENCE",80
"GAS CHROMATOGRAPHY (GC)",21
"GAS SENSOR",16
"GOLD NANOPARTICLES",10
"HIGH EXPLOSIVES",10
"HOMEMADE EXPLOSIVES",10
"HYDROGEN PEROXIDE",14
"HYPERSPECTRAL IMAGING",12
"IMAGING",10
"IMPACT SENSITIVITY",17
"IMPROVISED EXPLOSIVE DEVICE (IED)",56
"INFRARED SPECTROSCOPY (IR)",18
"ION MOBILITY SPECTROMETRY (IMS)",50
"KINETICS",25
"LASER",21
"LASER-INDUCED BREAKDOWN SPECTROSCOPY (LIBS)",40
"LIQUID CHROMATOGRAPHY (LC)",11
"LUMINESCENCE",21
"MASS SPECTROMETRY (MS)",38
"MECHANICAL PROPERTIES",17
"MEMS",10
"METAL ORGANIC FRAMEWORK (MOF)",26
"MOLECULAR DYNAMICS",13
"MONTE CARLO SIMULATION",10
"NANOPARTICLES",18
"NITRAMINES",16
"NITRATE ESTERS",11
"NITROAROMATIC COMPOUND",52
"NITROAROMATIC EXPLOSIVE",30
"NITROGLYCERIN",12
"PBX",13
"PENTAERYTHRITOL TETRANITRATE (PETN)",34
"PEROXIDE",10
"PICRIC ACID (PA)",16
"PRINCIPAL COMPONENT ANALYSIS (PCA)",17
"PROPELLANT",20
"QUANTUM CASCADE LASER",23
"RAMAN",39
"RAMAN SPECTROSCOPY",43
"REVIEW",11
"SECURITY",15
"SENSITIVITY",39
"SENSOR",84
"SERS",16
"SMOKELESS POWDER",11
"SMOKELESS POWDERS",11
"SOLID-PHASE MICROEXTRACTION (SPME)",19
"SOLID PHASE EXTRACTION (SPE)",12
"SPECTROSCOPY",22
"STAND-OFF EXPLOSIVES DETECTION",20
"STANDOFF",15
"STANDOFF DETECTION",32
"SYNTHESIS",10
"TATB",10
"TERAHERTZ",14
"THERMAL DECOMPOSITION",46
"THERMAL STABILITY",21
"TRACE ANALYSIS",11
"TRACE DETECTION",21
"TRIACETONE TRIPEROXIDE (TATP)",61
"UREA NITRATE",12
"VAPOR PRESSURE",10
