"Keyword","FD"
"(AFIS)",13
"(FTIR)",11
"1,2-INDANEDIONE",28
"1,8-DIAZAFLUOREN-9-ONE (DFO)",25
"ACCURACY",7
"AGEING",7
"AMINO ACID",13
"ANTI-COUNTERFEITING",8
"ANTIBODIES",7
"BIAS",14
"BIOMETRICS",31
"BLOOD",15
"BLOOD ANALYSIS",8
"CARBON DOTS",7
"CHEMICAL IMAGING",12
"COGNITIVE BIAS",7
"COGNITIVE FORENSICS",6
"COLUMNAR THIN FILM",7
"CONFIRMATION BIAS",9
"CONTEXT EFFECTS",6
"CRIME SCENE",7
"CYANOACRYLATE",21
"CYANOACRYLATE FUMING",20
"DACTYLOSCOPY",10
"DAUBERT",7
"DECISION MAKING",11
"DETECTION",16
"DEVELOPMENT",10
"DISTORTION",7
"DNA",17
"DNA TYPING",16
"ELECTROCHEMICAL MECHANISM",8
"ENHANCEMENT",14
"ERRORS",7
"EVIDENCE",14
"EXPERTISE",9
"EXPLOSIVE",7
"FINGERMARK DETECTION",15
"FINGERMARK DEVELOPMENT",7
"FINGERPRINT",361
"FINGERPRINT ANALYSIS",9
"FINGERPRINT DETECTION",18
"FINGERPRINT DEVELOPMENT",13
"FINGERPRINT IDENTIFICATION",16
"FINGERPRINT POWDER",9
"FINGERPRINT RECOGNITION",10
"FINGERPRINTING",8
"FIREARM",6
"FLUORESCENCE",47
"FORENSIC",56
"FORENSIC INTELLIGENCE",6
"FORENSIC SCIENCE",294
"GOLD NANOPARTICLES",7
"HUMAN FACTORS",6
"HYPERSPECTRAL IMAGING",12
"IDENTIFICATION",31
"IMAGING",15
"INDIVIDUALIZATION",14
"INFRARED RADIATION",12
"LATENT",13
"LATENT FINGERMARKS",60
"LATENT FINGERPRINT DETECTION",7
"LATENT FINGERPRINTS",206
"LATENT PRINTS",9
"LIKELIHOOD RATIO",27
"LUMINESCENCE",28
"MASS SPECTROMETRY (MS)",8
"METAL SURFACE",13
"MINUTIAE",13
"MULTIMETAL DEPOSITION",6
"NANOPARTICLES",27
"NANOPHOSPHOR",7
"NANOTECHNOLOGY",6
"NINHYDRIN",43
"PAPER",7
"PERSONAL IDENTIFICATION",15
"PHOTOLUMINESCENCE",36
"PHYSICAL DEVELOPER",14
"POROUS SURFACES",8
"POWDER",6
"PRINT VISUALIZATION",21
"QUANTUM DOTS",8
"RAMAN SPECTROSCOPY",9
"RELIABILITY",8
"SCANNING ELECTRON MICROSCOPY (SEM)",8
"SHORT TANDEM REPEAT (STR)",8
"SMALL PARTICLE REAGENT",12
"SPECTROSCOPY",7
"STATISTICAL MODEL",6
"STATISTICS",8
"SWEAT PORES",10
"THERMAL PAPER",15
"TOOLMARKS",7
"TOUCH DNA",11
"UPCONVERSION",6
"VACUUM METAL DEPOSITION",13
"VISUALIZATION",16
